average_wind_speed_mps,average_wind_dir_deg,Factorized_Mean
4.16675,78.75,9.134526463943047
2.9167500000000004,78.75,5.255254710189246
3.4722500000000003,39.375,6.8856830670634
3.26375,28.125,6.2554876568037345
5.2085,50.625,12.90935774511726
3.3335,11.25,6.463916120764778
3.9585,33.75,8.436698058182944
2.6390000000000002,5.625,4.500192119818044
2.5,0.0,4.138157474923958
4.375,61.875,9.851809123748527
4.23625,50.625,9.371766335148934
5.0,84.375,12.117234333213268
4.7917499999999995,78.75,11.343992608493492
4.5835,78.75,10.589018701272787
4.09725,67.5,8.899453107822545
5.347250000000001,73.125,13.446283331066208
3.2640000000000002,78.75,6.256230376842756
3.54175,67.5,7.100480662360756
3.2640000000000002,56.25,6.256230376842756
4.1665,73.125,9.133676983988275
4.3055,61.875,9.610291701625751
4.3055,50.625,9.610291701625751
4.9305,78.75,11.857168534804751
4.9305,56.25,11.857168534804751
5.00025,73.125,12.118173431786424
4.514,56.25,10.341187435528802
3.6807500000000006,56.25,7.537048278950096
4.09725,50.625,8.899453107822545
4.236,67.5,9.370909091001902
4.097250000000001,61.875,8.899453107822549
3.889,50.625,8.208216670180038
4.4445,61.875,10.095446028350201
